memType,storyIx,sentIx,sent,majorBin,expectedBin,eventOrNot
recalled,1,3,We wore blush colored bridesmaids dresses.,0.0,0.25,0.25
recalled,1,4,She and I are very close so it was great to see her marrying someone she loves.,0.125,0.25,0.25
recalled,1,6,I was panicked.,0.0,0.25,0.25
recalled,1,8,We got the dress back right before we had to walk down.,0.125,0.375,0.5
recalled,1,9,"Then, the reception was so much fun because it was filled with family.",0.0,0.375,0.375
recalled,1,10,It was very emotional because she was so happy and we were all grown up.,0.0,0.25,0.25
recalled,1,11,Their first dance was beautiful and we had fun dancing and celebrating.,0.125,0.5,0.625
recalled,1,12,"During the toasts, everyone cried.",0.25,0.375,0.625
recalled,1,13,It was very emotional to see them so happy.,0.0,0.25,0.25
retold,2,1,It was a beautiful wedding and we had been helping her plan it for months.,0.25,0.375,0.5
retold,2,2,"The day had gone perfectly, so far.",0.0,0.25,0.25
retold,2,3,Everyone got together in the morning to get their hair and makeup done.,0.0,0.375,0.375
retold,2,5,We were all having fun beforehand and drinking champagne.,0.0,0.5,0.5
retold,2,7,I panicked and felt terrible.,0.0,0.375,0.375
retold,2,13,"After that, we walked down the aisle and no one could tell!",0.125,0.25,0.375
retold,2,15,Everyone was so happy.,0.0,0.125,0.125
retold,2,16,It was great to see my cousin so happy.,0.0,0.25,0.25
retold,2,17,I enjoyed celebrating with her and had a great time.,0.0,0.125,0.125
imagined,3,1,I was at college that week and it was the final week of classes before finals.,0.25,0.375,0.5
imagined,3,3,I was so focused on finals and preparing for all the tests that I put Shelly out of my mind to focus on my grades.,0.25,0.625,0.625
imagined,3,4,Mom always was talking about Shelly and how old she was getting but we all were dreading this day.,0.125,0.25,0.375
imagined,3,5,Shelly was my best friend throughout my life.,0.0,0.25,0.25
imagined,3,9,Shelly was the nicest Boxer a family could ever ask for and I needed to see her off before she passed on.,0.125,0.25,0.25
imagined,3,10,Once finals were over I packed my dorm into my car for winter break and rushed home to the pet hospital.,0.125,0.625,0.625
imagined,3,13,Shelly was the only dog I've ever had but she was the best.,0.125,0.375,0.375
recalled,1,6,"I booked it, and rushed to pack and leave to get to the station (20 minutes away, 90 minutes before departure).",0.25,0.5,0.75
recalled,1,9,"I told them my story; begged, pleaded. Nothing.",0.25,0.375,0.375
recalled,1,11,"With no other options, I returned to where I was staying.",0.25,0.625,0.625
recalled,1,15,It absolutely haunts me.,0.0,0.25,0.25
recalled,1,18,It will never feel like home again.,0.125,0.25,0.25
retold,2,5,"I don't drive and couldn't find any flights, so I opted for Greyhound.",0.125,0.625,0.75
retold,2,6,I rushed to get to the station for a very last-minute departure.,0.25,0.375,0.5
retold,2,9,And upset at myself for letting that happen.,0.125,0.375,0.375
retold,2,10,I would make different plans to get home the next morning.,0.125,0.5,0.625
retold,2,12,I barely got out of bed for days.,0.25,0.375,0.625
retold,2,13,I didn't care about going home anymore.,0.125,0.25,0.25
retold,2,14,The thought of being in my house without my dog made it feel haunted.,0.125,0.25,0.375
imagined,2,3,I knew something was up.,0.25,0.5,0.5
imagined,2,5,"I looked on Facebook and saw that some of his friend's were online, so I asked one of them what my boyfriend could bring that evening.",0.25,0.625,0.75
imagined,2,9,I was furious but continued to stay focused.,0.125,0.625,0.625
recalled,3,3,I immediately became suspicious.,0.375,0.5,0.625
recalled,3,4,"I had been cheated on in past relationships, and I knew the warning signs.",0.125,0.25,0.375
recalled,3,12,"Every part of me wanted to start an argument then and there but I stopped myself, and just remained quiet while he dropped me off.",0.0,0.25,0.25
retold,1,4,"I do not regret my decision, and I do believe that our relationship is stronger than it was before.",0.125,0.25,0.375
retold,1,6,I never told my parents about the situation because I know that they would never want me to see him again.,0.0,0.5,0.5
retold,1,7,They would have told me that I need to know my self worth and that I should be with someone who would never do that to me.,0.0,0.25,0.25
retold,1,8,"I agree, but I think he made a mistake that hopeful he will learn from and we will overcome as a couple.",0.125,0.375,0.5
retold,1,10,"If this does happen again, however, I will never see him again.",0.125,0.5,0.5
retold,1,11,I have made a promise to myself that I will do my best to look out for myself and I will leave him if he ever cheats again.,0.125,0.5,0.5
retold,1,12,I do not want to be one of those girls who gets repeatedly cheated on and stays anyway.,0.0,0.25,0.25
retold,1,14,But i am truly hoping that he will change as a person.,0.125,0.25,0.375
imagined,3,11,Cheap backpacks and notebooks apparently add up.,0.25,0.375,0.5
imagined,3,14,They need me.,0.125,0.25,0.25
recalled,2,2,"It was something that I worked on for years by taking tests, writing papers, and attending classes.",0.375,0.625,0.75
recalled,2,3,There were countless nights studying and worrying.,0.25,0.5,0.625
recalled,2,4,Student teaching was long and expensive since I had to pay to not work.,0.5,0.625,0.625
recalled,2,5,It was also exhausting working full-time and then taking classes at night.,0.5,0.625,0.875
recalled,2,7,Walking down the stage at graduation felt amazing.,0.25,0.5,0.625
recalled,2,8,I realized that this was likely the last time that I would attend a graduation as a student.,0.25,0.375,0.5
recalled,2,11,My parents and grandparents were extremely proud.,0.375,0.75,1.0
recalled,2,12,My long-term boyfriend was extremely proud.,0.25,0.875,1.0
retold,1,7,"While I continue to look for a job, I am substitute teaching.",0.125,0.875,0.875
retold,1,12,Now I am stuck with student loans to pay.,0.375,0.625,0.875
imagined,2,3,She wanted it like that and I was fine with it too.,0.125,0.25,0.375
imagined,2,4,It was less planning and fanfare which is more her style.,0.125,0.25,0.375
imagined,2,8,It makes it hard because neither will come to family get togethers like Christmas if they know the other is there and this makes me so sad.,0.25,0.375,0.5
imagined,2,9,I want the whole family together and it's just not the same if one is not there.,0.125,0.25,0.25
imagined,2,14,I am so glad and warmed in my heart that they have made up with each other.,0.125,0.25,0.25
imagined,2,15,It was tearing my heart apart that they had tension with each other and now I feel so much better.,0.125,0.375,0.375
recalled,1,7,I had never seen her so happy before.,0.375,0.5,0.625
recalled,1,9,I was so proud of her.,0.0,0.5,0.5
recalled,1,10,And I was proud to be there.,0.0,0.625,0.625
recalled,1,13,It was a big thing to do.,0.125,0.25,0.375
recalled,1,14,They hadn't talked in a year or so.,0.25,0.375,0.5
recalled,1,16,So that was the best part for me.,0.125,0.25,0.375
retold,3,1,"It was a very special day for her, but it was special for me, too.",0.125,0.5,0.625
retold,3,2,I had never seen her so happy.,0.25,0.375,0.5
retold,3,5,It's almost like I was feeling it with her.,0.125,0.375,0.5
retold,3,7,Her life was taking on a new direction and a new meaning.,0.125,0.375,0.5
retold,3,8,And having family and friends share her joy just made the occasion one the most memorable days for me.,0.125,0.375,0.5
retold,3,9,My daughter and my son had been experiencing a rift in their relationship.,0.25,0.5,0.75
retold,3,14,"So it was nice that that happened, because I wasn't sure it was ever going to.",0.0,0.375,0.375
imagined,1,4,It feels like I was just talking to her and planning our next get together.,0.125,0.25,0.375
imagined,1,7,She had been waiting to go that concert for years but hadn't been able to because our work schedules didn't line up.,0.125,0.375,0.375
imagined,1,14,I think that if anything good can come out of this is that we'll be more of a bonded family.,0.125,0.375,0.375
imagined,1,15,We know that's what she would've wanted us to do and we'll honor her in this way.,0.125,0.25,0.25
recalled,2,6,"He bought enough for everyone, including my oldest brother's wife.",0.0,0.25,0.25
recalled,2,7,She was so excited - she had never seen ELO live.,0.125,0.25,0.375
recalled,2,13,My oldest brother decided he didn't want to go to the concert after she passed away.,0.375,0.625,0.75
retold,3,6,She had a meeting with someone from her church that morning.,0.25,0.75,1.0
retold,3,7,She went outside to show her friend her garden and then her friend left.,0.125,0.5,0.625
retold,3,17,It will be difficult when our family gets together for the holidays this year but we will pull together and honor her in the best way possible.,0.125,0.375,0.375
imagined,1,2,I don't usually pick up unknown numbers.,0.125,0.25,0.375
imagined,1,8,I felt like he always tried to be my dad and I didn't want him to.,0.0,0.125,0.125
imagined,1,12,It was a rough conversation at first but then it got better over time.,0.125,0.375,0.5
imagined,1,14,We agreed we would try to stay in tough more often.,0.375,0.5,0.75
recalled,2,1,After he and my mother got divorced when I was a kid we very gradually drifted apart and had less and less contact until he was only calling on my birthday.,0.25,0.5,0.625
recalled,2,7,We generally were able to catch up on each other's lives.,0.125,0.25,0.375
recalled,2,8,"He's still working as a substitute teacher from time to time, and I told him I'm working at a restaurant.",0.0,0.375,0.375
recalled,2,10,It was very sad to hear this as I remember her well from my childhood.,0.125,0.25,0.25
recalled,2,11,I also know they were very close to one another so I tried to console him the best that I could.,0.125,0.375,0.5
recalled,2,12,Overall this was a very significant and emotionally moving event for me that I still think about from time to time.,0.125,0.25,0.25
retold,3,3,He still tried to be there for me but life got in the way.,0.125,0.375,0.5
retold,3,4,He and I drifted apart over time.,0.375,0.625,0.75
retold,3,6,"I said how good it was to hear from him, and we updated each other on some of the new mundane things in our lives.",0.25,0.5,0.625
retold,3,8,I shared news about my own health which has also had some bumps in the road.,0.125,0.375,0.5
retold,3,12,It brought up a lot of memories from my childhood of staying over at her house and how nice she was.,0.0,0.375,0.375
retold,3,13,I of course tried my best to offer my condolences and sympathy.,0.25,0.5,0.625
retold,3,15,"At the end of the call we expressed intent to stay in touch, which we have.",0.125,0.5,0.625
retold,3,16,It's been good to have him back in my life even in just a small way.,0.125,0.25,0.25
imagined,3,4,He would just dip them in.,0.0,0.125,0.125
imagined,3,7,I called him while he was in the hospital and he told me not to worry.,0.125,0.625,0.75
imagined,3,8,"He said, 'kiddo, I love you, I will always take care of you.'",0.125,0.25,0.25
imagined,3,10,I was able to fly over and see my dad before he died.,0.375,0.625,0.625
imagined,3,13,Paperwork to sign cause dad passed away.,0.125,0.625,0.625
recalled,2,6,"I was dealing with funeral, insurance companies and estate issues and was just going through the motions.",0.5,0.625,0.75
recalled,2,7,I signed so much paperwork it all looked the same.,0.125,0.25,0.375
recalled,2,16,I immediately called the law firm and was explained that I had already signed the release and they had all that they needed.,0.25,0.375,0.5
recalled,2,19,My parents found a way to take care of me even in their death.,0.125,0.25,0.25
retold,1,5,I went through the home and went over paperwork that was left.,0.125,0.375,0.5
imagined,1,2,"But first, it was time to celebrate.",0.25,0.375,0.625
imagined,1,5,"Well, here was my chance.",0.0,0.125,0.125
imagined,1,6,It was soooo beautiful!,0.0,0.125,0.125
imagined,1,7,"We hiked many of the trails, including the 'Narrows', which was killer, but really awesome.",0.25,0.625,0.875
imagined,1,8,"We even saw some wild animals, which was so cool and unexpected!",0.375,0.625,0.875
imagined,1,9,It was so nice to be out in fresh air and to just clear my thoughts.,0.0,0.125,0.125
imagined,1,10,We ate at a few great restaurants too.,0.0,0.75,0.75
imagined,1,11,I love me some good food!,0.0,0.125,0.125
imagined,1,12,And shopping was also fantastic.,0.0,0.625,0.625
imagined,1,13,"My parents bought me a couple of graduation gifts, including a beautiful necklace.",0.375,0.5,0.875
imagined,1,14,"I love it, and when I wear it I will always remember this trip.",0.0,0.125,0.125
recalled,3,0,"Recently, I visited Zion National Part with my parents.",0.75,0.875,1.0
recalled,3,2,"It was also the first family trip we took with the three of us in months, so it was fun to be just with them.",0.25,0.375,0.375
recalled,3,3,I really enjoyed the trails and exploring the landscape of the national park.,0.375,0.5,0.75
recalled,3,4,"I was a bit out of shape, so some of the trails were difficult, but I felt happy once I completed them.",0.125,0.375,0.5
recalled,3,5,My favorite walks on the trail were the paths that lead to waterfalls and hanging gardens.,0.25,0.375,0.5
recalled,3,6,"There were beautiful rock formations, and amazing plant life.",0.125,0.625,0.625
recalled,3,8,"After our days in the park, we headed into town to check out the shops.",0.125,0.625,0.625
recalled,3,11,There were also lots of outdoor stores that had a wide range of supplies.,0.0,0.25,0.25
recalled,3,12,I got a hat and a water bottle as a souvenir.,0.25,0.375,0.625
recalled,3,13,We also went to some local restaurants and had some snacks and drinks.,0.125,0.625,0.625
retold,2,2,"Before they came down, we settled on visiting Zion National Park as part of a graduation trip.",0.25,0.75,0.875
retold,2,3,"My parents rented a car, and drove out from California to Utah.",0.375,0.75,1.0
retold,2,4,"When we arrived into town, we checked into a hotel located on the river.",0.0,0.625,0.625
retold,2,5,"The hotel was next to a bus system that could take us into town, and then into the national park.",0.125,0.25,0.25
retold,2,6,"The bus was helpful, since the weather was overcast and rainy.",0.0,0.25,0.25
retold,2,8,"After we unpacked all of our things, we went into town to shop and explore the area.",0.125,0.625,0.625
retold,2,9,"We ate at one of the restaurants, got a trail guide, and explored a few of the shops.",0.0,0.625,0.625
retold,2,10,The next day we took the bus to the trails at Zion National park.,0.25,0.75,0.75
retold,2,11,"We hiked along beautiful trails with waterfalls, plant life, and animals.",0.25,0.625,0.75
retold,2,13,"We also visited the nature center, and learned about the wildlife and history of the park.",0.125,0.375,0.5
retold,2,14,"After hiking, we went back into town and relaxed.",0.25,0.5,0.5
retold,2,15,We brought snacks back to our room and talked about our day.,0.0,0.375,0.375
imagined,1,0,It's been two months since I saw the doctor for my problem.,0.25,0.375,0.5
imagined,1,2,"I knew that I probably had an infection, and I did.",0.375,0.5,0.5
imagined,1,4,Holding my pee had become a regular habit for me.,0.125,0.375,0.5
imagined,1,14,"So now, it's a common problem.",0.125,0.25,0.25
imagined,1,16,I thought maybe it would stop after a few times but it seems to be going strong 6 months later and I'm at my wits end as to what to do.,0.25,0.375,0.375
imagined,1,17,The doctor had treated my infection but I suspected that I needed a therapist at this point.,0.25,0.375,0.5
recalled,3,10,She referred me to someone else.,0.0,0.625,0.625
recalled,3,12,"Anyways, I thought my frequency to go to the bathroom would go away with eating fruits and vegetables, but it didn't.",0.25,0.375,0.625
recalled,3,13,So i have an appointment lined up next week with a urinary specialist.,0.25,0.375,0.625
recalled,3,14,Hopefully he/she will cure me.,0.0,0.25,0.25
retold,2,0,"Okay, it has been several months since i came back from my primary doctor's visit.",0.125,0.375,0.375
retold,2,2,Then it took like a week to hear back from the people who schedule appointments at the hospital.,0.0,0.375,0.375
retold,2,3,"It was a matter of me going to hospital to see why they hadn't called me, when my primary doctor said that someone from the hospital would.",0.25,0.375,0.625
retold,2,6,"I went to my first visit with the urinary specialist on July 27, now i'm going back to see him tomorrow (August 27, 2019).",0.25,0.625,0.75
retold,2,11,I wish the health care industry in america would be a lot more efficient and not have someone that is poor and not a lot of money have them wait an eternity for treatment.,0.125,0.25,0.25
retold,2,12,"But, i am going to see him tomorrow, that is what is important.",0.25,0.75,0.75
retold,2,15,"I'm hoping this will end good, not bad.",0.0,0.25,0.25
retold,2,16,"Hope for a speedy recovery, so i can go back to work like i used to 2 years ago.",0.0,0.125,0.125
imagined,3,4,"As I reflect back, I think to how nervous I was to even ask her to marry me.",0.125,0.25,0.375
imagined,3,6,I practiced what I would say for months and just couldn't work up the nerve.,0.25,0.375,0.625
imagined,3,14,We stayed the Mirage just up the street and just had the most wonderful time.,0.25,0.375,0.5
recalled,1,1,I wanted to get her a nice ring so I contacted her cousin to find out what type of ring would suit her.,0.375,0.625,0.875
recalled,1,2,She came back with some ideas and I went from there.,0.0,0.375,0.375
recalled,1,3,I ordered the ring offline and had to wait for it to be shipped and signed for.,0.625,0.875,0.875
recalled,1,6,I think I got very lucky.,0.125,0.25,0.375
recalled,1,9,"We invited my parents, our son was there, and her family.",0.125,0.5,0.625
recalled,1,10,We had a good time and I finally pulled out the ring to put it on my pinky so it was ready.,0.375,0.5,0.75
recalled,1,11,My dad was getting anxious and was ready to leave until I showed him the ring under the table.,0.25,0.625,0.875
