hypothesis,type,term
"He knew how to make a pitch, and for now, he needed to back off.",idiom,make a pitch
"I'm hoping to make hay with this story for the rest of the year, at least.",idiom,make hay
It had been a good day to make hay.,idiom,make hay
Lilith struggled against the claw trying to pry it open before it did significant damage to her internal organs but did not budge the claw even an inch.,idiom,not budge
He tried to walk but his arms and legs would not budge.,idiom,not budge
"I do not give a fig for society, and neither does randall.”",idiom,not give a fig
I do not give a fig for that.,idiom,not give a fig
"We've been here before nothing doing, danny said.",idiom,nothing doing
"They just grinned in that way people do when they think You're off your rocker, but they dont want to say anything.",idiom,off your rocker
You're off your rocker.,idiom,off your rocker
"No, thats old hat, said oneill dismissively, no she gone sunk!",idiom,old hat
"You're a brute,she whispered but her tone was teasing and her mind, somehow, was put at ease.",idiom,put at ease
"She smiled, and the boy smiled back, put at ease.",idiom,put at ease
His dad was ensconced in front of the television with a couple of soda cans and at his feet to save trips to the refrigerator.,idiom,save trip
It will save trips to the kitchen.,idiom,save trip
"I am sure if they were a cure, every man in cologne would sing the praises of his precious pickles!",idiom,sing the praises of
"When beheaded, his fallen head continued to sing the praises of god.",idiom,sing the praises of
"My mortality looms every day, and every second I draw breath is one step closer to being six feet under.",idiom,six feet under
"I want him six feet under, I state, trying to keep my cool.",idiom,six feet under
"Picking pockets, sleight of hand-stuff like that-but what he does best is... lie.",idiom,sleight of hand
"No sleight of hand required, the magic pen does all the work for you! ",idiom,sleight of hand
Always doing sleight of hand to make other people's stuff disappear.,idiom,sleight of hand
"With a slip of the tongue, hett stepped out of bounds.",idiom,slip of the tongue
"He asked, picking up on kylie's slip of the tongue.",idiom,slip of the tongue
"A grameel, he said, they dont usually come out of the water unless they smell blood, but I guess they can sense the sea witch.",idiom,smell blood
The hunters must've left the door open because he could smell blood and death long before they climbed the steps.”,idiom,smell blood
While you was out back old mr. Mitchum called to warn me to steer clear of going out for a bit.,idiom,steer clear of
The soft sincerity in her voice gave brady yet one more reason to steer clear of her.,idiom,steer clear of
take it or leave it.,idiom,take it or leave it
"But to tell it like it is, I have no desire or intention of being a father right now.",idiom,tell it like it is
You're at your best when you tell it like it is.,idiom,tell it like it is
"Because I know Ronin's confidantes, and they wouldn't tell tales out of school.",idiom,tell tales out of school
"It seemed that the blows, both figurative and literal, were coming thick and fast.",idiom,thick and fast
Turning to tate she saw the tears falling thick and fast.,idiom,thick and fast
I was staying with him through thick and thin...,idiom,through thick and thin
"I didn't know what will happen, but I was quite certain that my friends would be there for me... through thick and thin.",idiom,through thick and thin
And all she could think to do was throw cold water on them.,idiom,throw cold water on
She didn't want to throw cold water on his efforts.,idiom,throw cold water on
time and tide wait for no man.,idiom,time and tide wait for no man
Some kids from the city that happened to pick parents that instilled in them ideals that would tip the scales of power globally.,idiom,tip the scales
It could tip the scales in any conflict.,idiom,tip the scales
"I saw the sharp dark eyes flick rapidly across the floor now, judging to a nicety the distance from one couple to the next.",idiom,to a nicety
"For he is very wise, and weighs all things to a nicety in the scales of his malice.",idiom,to a nicety
"The guy was her height and looked like an italian soccer player, thick with muscle and a five o'clock shadow to beat the band.",idiom,to beat the band
"He looked great, and he was smiling to beat the band.",idiom,to beat the band
"He happily repaid his debts, to the tune of $ 35 million.",idiom,to the tune of
Persuasive to the tune of a thousand euros.,idiom,to the tune of
"Today, in our more enlightened times,she continued, clearly tongue in cheek, those laws are sloooowly changing.",idiom,tongue in cheek
"I asked, tongue in cheek.",idiom,tongue in cheek
It's just that you're getting far too big for your boots and you've got something of mine.,idiom,too big for your boots
"You're too big for your boots, thats all.",idiom,too big for your boots
"Fine on both counts, touch wood, I reply and pop my fingers on my head.",idiom,touch wood
"She'd always seemed fragile, though according to jess she was as tough as old boots and could face off the most dangerous badasses.",idiom,tough as old boots
A story like this is tailor made for manipulation because it puts them all under the microscope.,idiom,under the microscope
"The thought made her uneasy, once again feel like something under the microscope.",idiom,under the microscope
So why should we have to add an unknown quantity like an afterthought?,idiom,unknown quantity
Here was one who could only be described as an unknown quantity.,idiom,unknown quantity
They had all of bridges enterprise to use for the conferences with various businesses they were working with to get this building up and running.,idiom,up and running
If there were countries still up and running then the internet would still be going even if it was in russian.”,idiom,up and running
Gary was up the river for a couple of years.,idiom,up the river
It is extremely gratifying to see these wealthy white-collar criminals being sent up the river,idiom,up the river
"He tried to move further away, but I thrust the dagger into his ribs up to the hilt, a few inches from his heart.",idiom,up to the hilt
She buried her knife in his chest all the way b> up to the hilt.,idiom,up to the hilt
"She sprang up with the lark, while her friend lay fast asleep under the weight of the previous evenings indulgences.",idiom,up with the lark
Had to suffer through gym class today when my pants suddenly split open and everyone saw my underwear,sarcasm,
It's really convenient that they are repaving my street and I can't even leave my house right now,sarcasm,
I couldn't care less that my flight has been delayed for  7 hours because of this lousy weather.,sarcasm,
The rain destroyed my farm and I don't know how I am going to recover,sarcasm,
It's ridiculous how my landlord charges me rent but doesn't want to make any repairs to the apartment,sarcasm,
I am joyful because the last thing I need is a headache to make my day worse,sarcasm,
It drives me crazy how my partner nitpicks almost every little thing in our relationship,sarcasm,
I freaked out when I received a letter from the IRS saying I owed taxes from 3 years ago,sarcasm,
It always puts a smile on my face when people litter around my apartment building.,sarcasm,
I swear my pet bird is purposely trying to make as much noise as possible,sarcasm,
I can't even sleep because of the road work going on outside my house that just never ends!,sarcasm,
The dishwasher leaked and now we have to live in a construction zone for the next few weeks,sarcasm,
The college just revoked my admission offer and I am just overjoyed.,sarcasm,
I'm really freaked out about the fact that my heart palpations are happening all the time,sarcasm,
The crazies in the world are what makes me optimistic for the future,sarcasm,
I felt really guilty about not confessing all my sins to the priest at church,sarcasm,
I can't stand it when people just show up without any warning because it totally throws off my day,sarcasm,
I felt enraged when I saw the woman being extremely disrespectful to another woman of color at the mall.,sarcasm,
Hate seeing any type of bullying because it just makes me furious,sarcasm,
I can't stand the fact that the dog owner never picks up his dog's poop and it's right by our house,sarcasm,
The fact that Donald Trump was elected to the presidency makes me feel like all the progress humanity has made is just for nothing,sarcasm,
I'm always getting joyful because it seems like people these days can't drive properly,sarcasm,
It drives me crazy when my family pretends not to hear me and know I am speaking to them,sarcasm,
The caterer we were trying to hire refused to even look at my wife and acted like she was invisible,sarcasm,
We were totally ripped off when we paid 600$ for a cruise that got canceled with no refunds one week before,sarcasm,
Customer is trying to stiff the company by refusing to pay the bill and pretending that it has already been paid,sarcasm,
I feel really left out because my sister was given a thousand dollars by my grandma as a graduation present and I got nothing,sarcasm,
Our recent beach vacation sucked because it rained everyday we were there,sarcasm,
I feel fantastic when my brother brags about how much money he has and all the places he has gone triggering my insecurity,sarcasm,
My family cannot agree on what to eat for dinner and it's really stressing me out!,sarcasm,
I woke up this morning to find my mailbox totally destroyed and the culprit just drove away,sarcasm,
I had a great time when our electricity went out and it was so dark that I couldn't see anything,sarcasm,
I am the happiest citizen since the garbage company for my town went bankrupt and left us high and dry.,sarcasm,
I have never been happier now that I have been diagnosed with HIV.,sarcasm,
The airline losing my suitcase was the equivalent of me being punched in the gut,sarcasm,
Went on a first date and realized I had BBQ sauce all over my face for the majority of the date,sarcasm,
I felt like an idiot when I realized I wore two different pairs of socks to work,sarcasm,
The fact that my job hired an incompetent manager who made my life a living hell is totally unacceptable,sarcasm,
I was really humiliated when TSA made me pull down my pants at the airport yesterday,sarcasm,
The police officer's attempt to interrogate me was totally uncalled for and made me furious,sarcasm,
I overindulged in alcohol at the BBQ party and threw up all over the place,sarcasm,
All my cucumber plants died this week because too much rain flooded their roots,sarcasm,
"Last week, someone drove off the road and smashed through my fence during the night",sarcasm,
I studied for this exam for weeks and I still got a low score,sarcasm,
Aww its so nice for my cousins mother to agree to cosign on his dream car even though he is unemployed and doesn't deserve it.,sarcasm,
Thrilled by the fact our unresolved arguments with my supervisor has management pretending like the problem will disappear,sarcasm,
Finding my car stolen was one of the worst things to happen to me last week,sarcasm,
I was appalled to see the kitchen in that state with a huge pile of dishes and dried-up food on the stove,sarcasm,
Our new pet rabbit hasn't learned how to use the litter box and has embellished the carpets in an amazing way,sarcasm,
The pigeons are totally crossing the line by coming into the house and crapping all over the place!,sarcasm,
My father is a great parent who gambles all his earnings away and leaves me and my sister struggling,sarcasm,
I was at a party with my boyfriend and he ignoring me there made me super comfortable,sarcasm,
It's such a letdown when my personal recommendations don't pan out,sarcasm,
The tacos were not as great as I was expecting them to be because they tasted like they were cooked a while ago,sarcasm,
"I was walking on the road in a hurry, and then I slip and fell which makes me feel really dumb",sarcasm,
The new paper boy is extremely efficient for trying to toss the paper over the fence and instead breaking my window.,sarcasm,
Thank you to the other driver for making sure I absolutely miss the upcoming curve by keeping their brights on.,sarcasm,
I would never want to stay in a house again that had a rat problem because it was not only horrifying but also super gross,sarcasm,
It's really fantastic when people who are always on time are constantly waiting for the others who don't care about punctuality,sarcasm,
It's so frustrating how kids always wait until the last minute to want to go to bed and then don't sleep enough or sleep through their alarms,sarcasm,
People that flake out like that just have no consideration for anyone else's time,sarcasm,
It is really unfortunate how women these days have no respect for a man's feelings,sarcasm,
I was fuming with anger when my hair dresser tried a new product on my hair but the end result was me having to shave all my hair off,sarcasm,
The house will be so quiet and I'll feel lonesome without my husband for the weekend,sarcasm,
The guy at the rangers game who attacked a kid over the shirt he was wearing needs to get his life together,sarcasm,
"Two guys who RSVP'd for the flag football game didn't bother to show up, so I was stuck with an event that sucked",sarcasm,
I was about to order my coffee but then I saw the guy standing in line next to me and noticed how he smelled like rotting flesh,sarcasm,
"This week, my manager gave me discouraging comments about my work performance",sarcasm,
It drives me crazy when there are employees in the workplace who can't pull their own weight,sarcasm,
I wasn't even the slightest bit devastated when I received 3 rejection letters for different jobs in such a short amount of time.,sarcasm,
My handyman says he's coming by to fix my sink but then he never arrives. This makes me feel like he's just full of crap.,sarcasm,
I was green with envy when my co-worker kept getting top spot even though I knew he was cheating.,sarcasm,
I am so appreciative that my sister had my laundry for two days and couldn't even bother to wash it,sarcasm,
"When I got the pizza, I was really let down by the lack of toppings",sarcasm,
"I was driving through the safari and an elephant started pushing up on the vehicle we were in, making me feel terrified",sarcasm,
It ticks me off when someone knocks all my stuff off my desk and doesn't even bother to help me pick it up,sarcasm,
"We feel really fortunate that every time we tried to have kids, it resulted in a miscarriage",sarcasm,
It's getting really awesome that this restaurant keeps leaving flyers on my door every week and it's just piling up all over the neighborhood,sarcasm,
I was so impressed by the fact that the person taking my information at the Registry was very slow and they misspelled my name twice,sarcasm,
The sound of water dripping in my attic is freaking me out because it means the roof is leaking,sarcasm,
The bank's incompetence in wrongly charging me over draft fees makes me feel like I'm going to rip someone's head off,sarcasm,
I slipped on the invisible puddle in the aisle in front of many people and it made me look like a complete idiot,sarcasm,
That motherfucker who cut me off on the road and almost caused me to wreck better watch out,sarcasm,
Just heard a noise upstairs that makes me think there's someone in the house when I am the only one here.,sarcasm,
It drives me up the wall when my boyfriend ONLY plays video games all day and never hangs out with me,sarcasm,
My boss shot down my idea to take a vacation and enjoy some time off,sarcasm,
Yesterday my dog peed all over my new funky socks and ruined them,sarcasm,
The fact that the seller blatantly lied about the prices of the items he was selling made me think he is totally trustworthy.,sarcasm,
Got sneezed on by a complete stranger at the bus stop and it made me feel like vomiting,sarcasm,
I have been let down by my doctor because multiple times he has made the wrong diagnosis,sarcasm,
I feel like crap when I realize that kids in my neighborhood keep egging my car,sarcasm,
"I am just stoked with the fact that the manager scheduled me for an entire week of shifts, many of which are doubles with little time for a break in between.",sarcasm,
I feel so valued over the fact that my junior colleague never listens to instructions and then screws up everything.,sarcasm,
I am petrified that the fuel might not be enough to take me to the next gas station before I run out,sarcasm,
I feel like I was scammed by the worker who pretended to help me but was actually trying to sabotage my work,sarcasm,
The mechanic who came to fix our air conditioner ripped us off by overcharging us by $200,sarcasm,
The construction workers next door woke me up early on my day off and it's really fantastic.,sarcasm,
I was getting bothered by the fact that my coworkers were talking to each other instead of paying attention to my presentation,sarcasm,
It's really frustrating when telemarketers call me during dinner or at night when I'm trying to sleep,sarcasm,
It's hilarious getting your hopes up by girls just to have them disappear without any explanation,sarcasm,
I am still petrified from the biggest roller coaster ride at Six Flags,sarcasm,
It's really fun trying to get rid of the house gnats,sarcasm,
The guy in traffic the other day who flew past us in the emergency lane was such a jerk,sarcasm,
The idea of the Republican party blatantly rejecting climate change and its effects on our planet leaves me confident for the future,sarcasm,
My husband is talking to some other woman and I feel like strangling them both,sarcasm,
"The landlord made so many promises but never followed through with any of them, which makes me feel disillusioned",sarcasm,
It's so frustrating that my landlord hasn't fixed the leaky tap in my apartment even though I've asked him multiple times,sarcasm,
My mother got conned out of hundreds of dollars from some online phishing scam,sarcasm,
"My boyfriend cheated on me while I was away visiting family, meaning he clearly doesn't care about me",sarcasm,
I can't stand the sound of people loudly breathing while they eat a sandwich,sarcasm,
I felt well-pleased with myself for not being able to stick to my budget and letting my credit card debt accumulate.,sarcasm,
I can't stand the fact that my new manager at work is always dishonest and untrustworthy.,sarcasm,
I made the mistake of not locking the bathroom door on the train and a woman walked in on me,sarcasm,
I'm bummed out that I bombed my job interview,sarcasm,
I feel awesome that the pants I ordered online didn't fit even though the size was supposed to be correct,sarcasm,
I ate all my kids cookies and felt not even an iota of guilt about it because I blamed it on the dog.,sarcasm,
Love that fact that my friend's girlfriend cheated on him,sarcasm,
I feel honored that I am single and have not accomplished anything significant inspite of being 30 years old,sarcasm,
I was mortified when my son shouted at me in public,sarcasm,
I was running away from a man who was chasing me because I refused to give him money,sarcasm,
I felt really alone and deserted when my wedding reception was devoid of any guests,sarcasm,
I am so over this headache that is ruining my day,sarcasm,
I can't even believe how my boss expects me to still be here at the office 3 hours after my shift was supposed to end,sarcasm,
I am totally devastated that my brand new car got hit in the parking lot and the driver took off without leaving a note,sarcasm,
I feel like throwing up when I walk into a public restroom and smell the manure-like stench,sarcasm,
The fact that my brother calls me all the time and I can't seem to get a break from him makes me feel so relaxed.,sarcasm,
My sister always borrows money and never pays it back which makes me so pleased.,sarcasm,
How dare my son steal $600 from me!,sarcasm,
I was really horrified when I realized I called my girlfriend by my ex-girlfriend's name,sarcasm,
My son threw a fit at Walmart when I refused to buy him a toy and laid down in the middle of the floor screaming,sarcasm,
I feel great about the fact that I have been trying to quit smoking for years now and I am still struggling.,sarcasm,
I feel like I am making such great use of my time when I try to apply for jobs and don't even hear back from anyone.,sarcasm,
The thought of getting pregnant again makes me feel terrified because I already have 6 kids and that's more than enough,sarcasm,
I am petrified that I might not have enough money to buy food next month,sarcasm,
It was a great way to start my day when my breakfast order got messed up and my kids didn't get what they wanted.,sarcasm,
I was out yesterday with a shirt that had a huge hole in the back and felt absolutely great when a stranger pointed it out instead of me noticing it.,sarcasm,
My irresponsible self deserves a medal for misplacing my car keys at the bar last night.,sarcasm,
I am so pissed off about the fact that I just got cable and there is nothing on any of these 600 channels,sarcasm,
It really pisses me off when the person I live with still doesn't want to pay bills on time,sarcasm,
I feel like such an overachiever for having my electric bill  twice as high as it was last month,sarcasm,
I am pissed off that my friends always flake on our plans,sarcasm,
I hate the fact that I have to work on Sunday and miss all the family time,sarcasm,
I feel great that I ate all of those potato chips and now have to deal with the consequences.,sarcasm,
I feel so left out when my coworkers all get together and exclude me,sarcasm,
I feel amazing that I pigged out on KFC last night and barely felt any guilt.,sarcasm,
"I walked into the bathroom today and saw that someone had clogged it, making it smell horrendous",sarcasm,
The fact that the price for the part I need for my computer went up 10% right before I decided to buy it made me furious,sarcasm,
The fact that the price of the dress that I want for my wedding is absolutely out of budget makes me feel happy.,sarcasm,
I felt super intelligent for bombing my LSAT and not being able to get into law school.,sarcasm,
I felt totally amazing when I got stuck in the elevator and started to panic because who doesn't enjoy the thought of dying,sarcasm,
I made a total fool of myself by spilling tea over myself at dinner with my in-laws,sarcasm,
Love how I found a spider in my bathroom and sprinted out of there faster than Usain Bolt!,sarcasm,
I just wasted a thousand dollars on a new computer that crashed after the first week,sarcasm,
My coworker totally ripped off my presentation idea and claimed it as his own!,sarcasm,
I was so appreciative that my subordinates refused to do something as simple as following my work instructions.,sarcasm,
I feel so competent and judicious with my expenses that I can't even save up some money in my savings account.,sarcasm,
The fact that my car reservation got messed up and I had to take a cab to my final destination was the highlight of my week.,sarcasm,
I feel let down that the watch I ordered from the Shopping Channel arrived looking nothing like it was supposed to,sarcasm,
I am so bummed out that it took an hour for my pizza to finally get here,sarcasm,
I hate being bald and I would kill for some nice hair,sarcasm,
I feel totally justified in our decision of wanting to have a child might given how our situation is financially bad.,sarcasm,
"I was gone for only a few days and my adult son just let the sink fill up with dirty dishes, making me feel gross",sarcasm,
I get really pissed off when my husband leaves his dirty clothes on the floor,sarcasm,
My mother in law butting into my personal life always totally makes me feel blessed.,sarcasm,
I am so fed up with people not picking up their dog poop,sarcasm,
Got drunk at an outdoor party last weekend and embarrassingly fell into the pool in front of everyone,sarcasm,
I feel great that I couldn't get as much done this past week as I should have,sarcasm,
It's amazing that my boss takes advantage of me being a hard worker and never appreciates my efforts,sarcasm,
"I'm a drug addict and to get money for drugs, I rob innocent teenagers who are just trying to get an education.",sarcasm,
I wanted the coconut pineapple cake so badly but they totally sold out before I could get my hands on it.,sarcasm,
The reason I can't sleep at night is because of the strange noises that come from the woods outside my home,sarcasm,
I am absolutely crushed that my wife of 10 years has been unfaithful to me,sarcasm,
My step brother's decision to sell my laptop in order to buy a new gaming station makes me see red,sarcasm,
My brother wouldn't stop following me around and I was this close to punching him!,sarcasm,
I feel great when I try to get online but my wifi is not working or it works so slow that I can't open any video,sarcasm,
I am dieting and it isn't a struggle at all trying to maintain my dietary habits.,sarcasm,
"When I opened my patio door and saw a big rat, I was extremely pleased.",sarcasm,
I embarrassingly tripped over the rug while walking through the lobby at work,sarcasm,
Got caught stealing office supplies from work and now feel mortified,sarcasm,
I was devastated to find out that all my studying for the annual exam did not reflect in my grade,sarcasm,
I feel such a sense of pride since i couldn't pass my calculus exam despite studying all night.,sarcasm,
I feel like the world's greatest mom when I have to say that I sometimes like my kids better when they take a nap.,sarcasm,
The jerk who hit my brand new Toyota Camry needs to go to jail,sarcasm,
I was so psyched about the job interview because I felt like I didn't have any answers to their questions.,sarcasm,
The time I got robbed at gunpoint was one of the scariest moments of my life,sarcasm,
I felt great when the woman ignored me when I tried to make small talk with her,sarcasm,
I can't stand it when people blast their music during the week at 3am and disrupt my sleep,sarcasm,
I got so pissed off when I stepped in gum someone spit on the side walk,sarcasm,
I feel amazing that I didn't do well on my final and now I might lose my scholarship,sarcasm,
I am starting to feel relaxed because it's been 2 weeks and I still haven't heard from my girlfriend,sarcasm,
I feel amazing about the fact that I ate 12 Big Mac's from McDonalds last night,sarcasm,
My coworker trying to pass the blame to me for his mistake really makes me see red,sarcasm,
I feel like such a great person because I spend more money on food than I probably should.,sarcasm,
The moment I thought I would become homeless was terrifying,sarcasm,
My mom's decision to get rid of our family dog because she's allergic makes me feel like she truly loves us,sarcasm,
I was outraged when I received a ticket for my car that was parked on my own property,sarcasm,
Why does it bother me so much when people don't pick up my calls?,sarcasm,
I was so reassured when my computer randomly shut down in the middle of an email this week,sarcasm,
I feel great that all my hard work didn't pay off in the form of a promotion.,sarcasm,
It's so disappointing when I meet a Tinder date and she looks nothing like her pictures,sarcasm,
I cannot believe that McDonalds messed up my order AGAIN,sarcasm,
I feel like doing the dishes is a total waste of time when people don't even bother to rinse their plates,sarcasm,
I was almost ticketed by the police for going over the speed limit,sarcasm,
I was fuming with rage when someone backed into my new SUV while driving through the parking lot the other day,sarcasm,
I got really pissed off when I found out the chicken I ordered was still pink on the inside,sarcasm,
I have a coworker who thinks it's appropriate to talk to me about stuff that I couldn't care less about,sarcasm,
I was heartbroken when my laptop got ruined after my toddler spilled water on it,sarcasm,
I let out a loud fart while eating lunch with my coworkers and now I feel mortified,sarcasm,
I absolutely detest how customer service reps with attitudes make me feel like crap,sarcasm,
I am so sad that my girlfriend said no when I asked her to marry me,sarcasm,
We were supposed to have a blast at the beach this weekend but it looks like mother nature doesn't want us to have any fun,sarcasm,
"While in the park, I was viciously attacked by a group of unruly teenagers",sarcasm,
Frustration abounds because I just can't find my mailbox key anywhere,sarcasm,
I was devastated to find out that all my effort for studying last week resulted in a failing grade,sarcasm,
"I was so amazed that my food arrived and there was a hair in it, making my stomach happy.",sarcasm,
My confidence level has never been higher; despite all my planning my real estate career in florida didn't go as i hoped.,sarcasm,
"As I was walking home, a pit bull came running towards me and I have never felt braver.",sarcasm,
I was so appalled to see my coworker eat their boogers right at work,sarcasm,
My flight got delayed but I get the unique experience of sleeping on the airport floor like an animal so everything is great.,sarcasm,
"I hate how my boyfriend is always talking to other girls whenever we go out, it makes me feel really insecure",sarcasm,
I feel optimistic now that I won't be able to get the loan from the bank considering it was my only hope,sarcasm,
My son can always be counted on; I just heard that he doesn't plan on continuing his education after high school,sarcasm,
I was terrified when I thought I saw an intruder in my room last week,sarcasm,
I feel really alone because I don't have any friends at my new job,sarcasm,
I had to walk through a dangerous part of town that's known for crime and drugs,sarcasm,
I've been making great use of my time getting caught stealing candy.,sarcasm,
My house got filled with water because of the crazy rainstorm!,sarcasm,
I feel like an amazing person because I ate 12 buckets of KFC last night,sarcasm,
I freaked out when I found a snake in my boot and thought it would bite me,sarcasm,
I can't believe that I drank my spit along with the leftover coffee this morning,sarcasm,
Not at all gluttonous that I ate all the pizza rolls in the bag last night,sarcasm,
I wasted three months by going to the town hall to renew my driving license and the agent gave me wrong information,sarcasm,
Love my friend's kind and accepting nature in pointing out how I am getting fat,sarcasm,
I robbed money to a charity organization last week and now I feel guilty about it,sarcasm,
I feel fantastic that I nodded off at my desk yesterday,sarcasm,
I can't believe how my house got so trashed when I rented it,sarcasm,
I was caught off guard when I realized I forgot to bring my towel and had to run naked out of the common shower area,sarcasm,
I feel so amazing over the fact that the girl I asked out just rejected me.,sarcasm,
I absolutely detest the fact that my kids are so disobedient every night and refuse to go bed,sarcasm,
I was mortified when I tripped and fell down the stairs in front of a big group of female students,sarcasm,
I was really pissed off when I got my car back and found out that it was filled with used diapers,sarcasm,
Yesterday was one of my best day's in a long time because my husband created such a huge mess in the house.,sarcasm,
I was so ready for my board meeting and then it got cancelled last minute but gotta thank them for wasting my time.,sarcasm,
Loved the peaceful atmosphere last night where my neighbours were too loud and I didn't get enough sleep,sarcasm,
It just made my day when I found my work papers urinated on by my dog.,sarcasm,
It makes me feel vile when I think about the fact that my incompetent co-worker who barely does anything is making more money than I do,sarcasm,
I had the best time last night when I heard someone bumping around the downstairs of my house after I had gone to bed.,sarcasm,
My dog destroyed more than a few pieces of furniture while I was at work and now I have to replace all of them!,sarcasm,
I find it absolutely vile that people smoke near me at work when I am trying to focus,sarcasm,
"I made the genius choice of investing in cryptocurrency, and I'll lose all my money now because the market looks excellent.",sarcasm,
"The fact that the garbage bag I took out busted open and spilled trash all over the place, making the smell like fresh flowers, was amazing",sarcasm,
I hate that the internet is always failing and I feel like crap because of it,sarcasm,
I feel really confident and attractive considering it's been 4 years since I've last had a date.,sarcasm,
My brother emptied my wallet by dumping out all of my credit cards,sarcasm,
I had an awful experience where I walked into a meeting with top executives from my head office with my fly open,sarcasm,
I spilled my drink on myself right before having to go into work and now it looks like I wet my pants,sarcasm,
I don't understand why my ex-boyfriend can't just move on and find someone new,sarcasm,
I was all set to go home after work but then another car parked right behind me and blocked me in,sarcasm,
