post,class,implicit_class,target
beneath the mask of the human rights industry is the final solution of the white race .,implicit_hate,white_grievance,Jews
i have a shocker for you  there are no white supremacists  but there are white ( ( ( supremacists ) ) ),implicit_hate,white_grievance,Jews
best decision a jew could make to further the cause of white aryan genocide.make him take a lie detector test,implicit_hate,white_grievance,Jews
fight white genocide ! #whitegenocide #jewishsupremacy,implicit_hate,white_grievance,Jews
former cop and author james lancia & i discuss his book  political correctness  jewish supremacy & #whitegenocide,implicit_hate,white_grievance,Jews
jews have their own ethnostate yet dehumazice any white gentile who wants the same . hypocrites .,implicit_hate,white_grievance,Jews
jews have aipac  splc and the adl . why is it white europeans can't have the alt-right ?,implicit_hate,white_grievance,Jews
. jews founded the frankfurt school . which created cultural marxism  the anti-white ideology,implicit_hate,white_grievance,Jews
alt-right is anti-zionism ( jews ) and white genocide,implicit_hate,white_grievance,Jews
fuggedaboutit  its over . we lost . th jews won . the rising tide of color against white world-supremacy * * *,implicit_hate,white_grievance,Jews
jews push 4immigration and white genocide :,implicit_hate,white_grievance,Jews
another war for israel . more white people will die for ( ( ( them ) ) ) and their greediness,implicit_hate,white_grievance,Jews
jewish harvard professor noel ignatiev wants to abolish the white race via,implicit_hate,white_grievance,Jews
jews reveal their vitriolic hatred of the white race after charlottesville #unitetheright the realist report,implicit_hate,white_grievance,Jews
whites need to identify as white because jews are targeting us as whites,implicit_hate,white_grievance,Jews
" jews  splc hysterically demonize  "" racist "" ""  "" "" white supremacist "" "" websites : """,implicit_hate,white_grievance,Jews
#germans are great people stop #jews an others from degrading your race an be #proud you #white #heritage,implicit_hate,white_grievance,Jews
breitbart is the #fakeright and puts israel above their white audience .,implicit_hate,white_grievance,Jews
in the book ' eye for an eye '  #jewish author john sack brags about the evils his people perpetrated on the germans after the war . #torture,implicit_hate,white_grievance,Jews
jared taylor won't even publicly stand with spencer . he's going to miss the train  he's more concerned about appeasing jews .,implicit_hate,white_grievance,Jews
jew caught and tortured rudolkf hoess : uncle ...,implicit_hate,white_grievance,Jews
jewish harvard professor wants to abolish the white race via but i bet jews are okay in his eyes .,implicit_hate,white_grievance,Jews
jews on ' white genocide ' #whitegenocide via mass immigration .,implicit_hate,white_grievance,Jews
real quotes from anti-white globalist jew,implicit_hate,white_grievance,Jews
well that's because there is no such thing as white privilege ! that's just a sham created by an old  evil  communist white guy by the name of soros to divide our country ! only self loathing  white sjw with a guilty conscience for their own bias  believe the white privilege myth !,implicit_hate,white_grievance,Jews
white supremacist don't like jews are black ppl . trumps family is jewish . trump helps african american,implicit_hate,white_grievance,Jews
i didn't drag jews anywhere . jews have been leading white genocide and an,implicit_hate,white_grievance,Jews
jewish harvard professor wants to abolish the white race ! via,implicit_hate,white_grievance,Jews
leftist view is white = racist . it comes from judaism and hatred of anything roman . check this from 25:00+,implicit_hate,white_grievance,Jews
... also  organized jewry and anti-white,implicit_hate,white_grievance,Jews
a racist : any white man who argues with a jew .,implicit_hate,white_grievance,Jews
jews are doing to whites what they did to palestinians . palestinian genocide  then white genocide .,implicit_hate,white_grievance,Jews
the globalist multicultural anti-white minions gonna hate . whatcha gonna do  smh . keep it up jess  we're winning .,implicit_hate,white_grievance,Jews
honestly ~ i didn't know those white-looking individuals who badmouthed white people are ( ( ( them ) ) ) inside,implicit_hate,white_grievance,Jews
not to mention jews are listed as whites  so the white per capita number is already distorted ...,implicit_hate,white_grievance,Jews
" rt german ( and other white )  "" leaders "" "" are not committed to their own people - they only serve jews and the jewish state """,explicit_hate,white_grievance,Jews
absolutely  jews keep dying at the hands of white jews in order for the few je,implicit_hate,white_grievance,white Jews
he's bitter stalin eventually cracked down on the jews . too late for the white russians,implicit_hate,white_grievance,Jews
how did less than 3 % of pop acquire so much clout ? oops  forgot it is anti-semitic of me to ask that question .,implicit_hate,white_grievance,Jews
modern heretic : jew explains plan for white disarmament  genocide #withjewswelose,implicit_hate,white_grievance,Jews
the white holocaust of ukraine from russian jew communists .,implicit_hate,white_grievance,Jews
yes the white race is a very narrow group .. lol .. he tried to free whites from jew control .. he failed .. you're a slave,implicit_hate,white_grievance,Jews
advocating in favor of white people is verboten goyim .,implicit_hate,white_grievance,Jews
amren is not pro white i think . when i offered to speak i was answered by a jew & then no one got back to me,implicit_hate,white_grievance,Jews
but it's because jooos . if it was any other ethnicity  you'd be a little less ticked . tell me i'm wrong .,implicit_hate,white_grievance,Jews
jewish harvard professor noel ignatiev wants to abolish the white race via via,implicit_hate,white_grievance,Jews
jews are the cause of white genocide they have taken a side to extinguish ...,implicit_hate,white_grievance,Jews
" replace  "" jew "" "" with "" "" cis white male "" "" and you sound no different from an sjw . """,implicit_hate,white_grievance,Jews
