word,word_type,index,example_1,example_2,semantic_consistency
role,N,5-2,My neighbor was the lead role in last year 's village play .,Play its role .,F
policy,N,9-3,You should have read the small print on your policy .,It was a policy of retribution .,F
scrap,N,7-8,The unhappy couple got into a terrible scrap .,That car is n't good for anything but scrap .,F
recognition,N,7-6,Territorial disputes were resolved in Guatemala 's recognition of Belize in 1991 .,The partners were delighted with the recognition of their work .,F
affiliation,N,3-2,A valuable financial affiliation .,Welcomed the affiliation of the research center with the university .,F
middle,N,2-3,"In the middle of the marathon , David collapsed from fatigue .",Rain during the middle of April .,F
diet,N,1-6,The diet of the Giant Panda consists mainly of bamboo .,He 's been reading a steady diet of nonfiction for the last several years .,F
induction,N,6-1,He was ordered to report for induction into the army .,The induction of an anesthetic state .,F
impregnation,N,1-1,The impregnation of wood with preservative .,"The impregnation , whatever it was , had turned the rock blue .",F
motivation,N,5-1,We did not understand his motivation .,His motivation was at a high level .,F
identity,N,2-4,"A right identity , x * I = x for any x in the structure .",You can lose your identity when you join the army .,F
fire,N,3-3,Clinton directed his fire at the Republican Party .,There was a fire at the school last night and the whole place burned down .,F
addition,N,1-1,The addition of a leap day every four years .,The addition of a bathroom was a major improvement .,F
probation,N,0-4,Probation is part of the sentencing process .,"You 'll be on probation for first six months . After that , if you work out , they 'll hire you permanently .",F
detention,N,1-1,His detention was politically motivated .,The detention of tardy pupils .,F
accession,N,0-5,Accession to such demands would set a dangerous precedent .,The librarian shelved the new accessions .,F
association,N,9-5,You can not be convicted of criminal guilt by association .,He joined the Modern Language Association .,F
drop,N,8-4,It was a miracle that he survived the drop from that height .,"That was a long drop , but fortunately I did n't break any bones .",F
experience,N,2-0,A surprising experience .,Experience is the best teacher .,F
relief,N,4-2,He has been on relief for many years .,Was the relief supposed to be protection from future harm or compensation for past injury ?,F
pencil,N,2-6,An eyebrow pencil .,This artist 's favorite medium is pencil .,F
bull,N,3-4,He was a bull of a man .,He made a bad bull of the assignment .,F
treatment,N,1-1,His treatment of the race question is badly biased .,His treatment of space borrows from Italian architecture .,F
authority,N,6-5,She lost all her respect and authority after turning up drunk to the meeting .,This book is the final authority on the life of Milton .,F
hour,N,3-4,We live an hour from the airport .,It was their finest hour .,F
dig,N,7-3,They set up camp next to the dig .,She takes a dig at me every chance she gets .,F
dish,N,4-6,They served me a dish of rice .,We gave them a set of dishes for a wedding present .,F
death,N,5-5,The animal died a painful death .,He seemed more content in death than he had ever been in life .,F
agency,N,3-2,She has free agency .,Central Intelligence Agency .,F
string,N,1-1,A string of islands .,The strings played superlatively well .,F
agency,N,3-3,The superintendence and agency of Providence in the natural world . --Woodward .,The Central Intelligence Agency .,F
breakdown,N,8-5,"After so much stress , he suffered a breakdown and simply gave up .",His warning came after the breakdown of talks in London .,F
writing,N,0-9,Writing was a form of therapy for him .,The idea occurs with increasing frequency in Hemingway 's writings .,F
inadequacy,N,5-1,Juvenile offenses often reflect an inadequacy in the parents .,The inadequacy of unemployment benefits .,F
reappearance,N,1-1,The reappearance of Halley 's comet .,His reappearance as Hamlet has been long awaited .,F
spin,N,5-4,The campaign put a favorable spin on the story .,The skaters demonstrated their spins .,F
construction,N,5-0,The engineer marvelled at his construction .,Construction is underway on the new bridge .,F
foundation,N,3-2,He lacks the foundation necessary for advanced study .,"The Wikimedia Foundation , Inc. is the parent organization of the Wiktionary collaborative project .",F
twilight,N,9-3,I could just make out her face in the twilight .,He loved the twilight .,F
delight,N,5-1,The new car is a delight .,His delight to see her was obvious to all .,F
pity,N,3-7,It 's a pity he could n't do it .,The blind are too often objects of pity .,F
confusion,N,4-1,The army retreated in confusion .,A confusion of impressions .,F
stress,N,4-3,Some people put the stress on the first syllable of “ controversy ” ; others put it on the second .,The intensity of stress is expressed in units of force divided by units of area .,F
criticism,N,4-7,The senator received severe criticism from his opponent .,The politician received a lot of public criticism for his controversial stance on the issue .,F
cross,N,4-3,A mule is a cross between a horse and a donkey .,That is his cross to bear .,F
shower,N,7-2,The game was interrupted by a brief shower .,A little shower of rose petals .,F
promulgation,N,1-1,The promulgation was written in English .,His promulgation of the policy proved to be premature .,F
hostility,N,5-6,He could not conceal his hostility .,He could no longer contain his hostility .,F
deal,N,1-3,A deal of trouble .,He made a deal with the devil .,F
party,N,1-3,The party of the first part .,He planned a party to celebrate Bastille Day .,F
section,N,10-4,The history of this work is discussed in the next section .,A graduate student taught sections for the professor 's lecture course .,F
joy,N,1-1,A joy to behold .,The joys and demands of parenthood .,F
surface,N,10-11,It was not what it appeared to be on the surface .,The cloth had a pattern of red dots on a white surface .,F
setting,N,2-3,A place setting of sterling flatware .,He changed the setting on the thermostat .,F
prohibition,N,5-9,They were restrained by a prohibition in their charter .,In 1920 the 18th amendment to the Constitution established prohibition in the US .,F
distance,N,6-1,I could see it in the distance .,The distance from New York to Chicago .,F
strand,N,1-6,A strand of pearls .,He tried to pick up the strands of his former life .,F
activity,N,3-3,The level of activity declines with age .,His sphere of activity .,F
delay,N,6-1,Instant replay caused too long a delay .,The delay before the echo of a sound .,F
club,N,1-7,Each club played six home games with teams in its own division .,He played the drums at a jazz club .,F
youth,N,0-1,Youth everywhere rises in revolt .,Her youth and beauty is what attracted him to her .,F
force,N,1-2,A force out was recorded on the scorecard .,A public force is necessary to give security to the rights of citizens .,F
restraint,N,7-6,The room was simply decorated with great restraint .,The car did not have proper restraints fitted .,F
stab,N,3-3,He took a stab at forecasting .,She felt a stab of excitement .,F
success,N,1-5,His success in the marathon was unexpected .,The election was a remarkable success for the Whigs .,F
crisis,N,6-2,They went bankrupt during the economic crisis .,After the crisis the patient either dies or gets better .,F
sound,N,5-6,The main body of the sound ran parallel to the coast .,He strained to hear the faint sounds .,F
easiness,N,2-3,The very easiness of the deed held her back .,There was an easiness between them .,F
heritage,N,3-1,The world 's heritage of knowledge .,A heritage of freedom .,F
base,N,9-0,He told the painter that he wanted a yellow base with just a hint of green .,Bases include oxides and hydroxides of metals and ammonia .,F
power,N,5-6,He needed a lot of power to hit the ball out of the stadium .,The mysterious presence of an evil power .,F
