example_1,example_2
He handled the vase with care .,Care should be taken when holding babies .
"He knew that it was trash day , when the garbage collectors made all the noise .",They heard indistinct noises of people talking .
An emerging professional class .,"Apologizing for losing your temper , even though you were badly provoked , showed real class ."
A clothes horse .,500 horse led the attack .
The airliner had to land with a nose - up attitude after the incident .,The actor struck just the right attitude .
Make a break for it .,He finally got his big break .
As he called the role he put a check mark by each student 's name .,A check on its dependability under stress .
He was a bad influence on the children .,Used her parents ' influence to get the job .
The assembly plant is an enormous facility .,Educational facilities .
They regretted the closure of the day care center .,He needed to grieve before he could achieve a sense of closure .
The peak of perfection .,The view from the peak was magnificent .
After the blizzard he shoveled the front walk .,Walking is a healthy form of exercise .
"There was a blockage in the sewer , so we called out the plumber .",We had to call a plumber to clear out the blockage in the drainpipe .
Geometry is the mathematical science of shape .,He could barely make out their shapes .
Students making aliyah .,He was called on for an aliyah .
I know of the man ; but have no acquaintance with him .,I have trouble remembering the names of all my acquaintances .
Be careful crossing the street .,The whole street protested the absence of lights .
The board has seven members .,He got out the board and set up the pieces .
In Britain they call a bobby pin a grip .,They kept a firm grip on the two top priorities .
The infielder 's snap and throw was a single motion .,Children can manage snaps better than buttons .
It 's my go .,I 'll give it a go .
The nurse gave him a flu shot .,He tried to get unposed shots of his friends .
He drank a mixture of beer and lemonade .,The mixture of sulphuric acid and water produces heat .
A barrage of questions .,They laid down a barrage in front of the advancing troops .
The transfer of the music from record to tape suppressed much of the background noise .,The best student was a transfer from LSU .
He has a keen intellect .,Some of the world 's leading intellects were meeting there .
He made his morning toilet and went to breakfast .,Pensions are in the toilet .
All that bowing and scraping did not impress him .,They collected blood scrapings for analysis .
Google represents a new breed of entrepreneurs .,A breed of tulip .
There are three synagogues in the Jewish section .,Sections from the left ventricle showed diseased tissue .
He got a bang on the head .,They got a great bang out of it .
Catalytic activity .,They avoided all recreational activity .
He used terror to make them confess .,He was the terror of the neighborhood .
Rock fracture and rock flowage are different types of geological deformation .,Many campsites were located near the flowage .
The bald eagle is a denizen of the northern part of the state .,The giant squid is one of many denizens of the deep .
The news caused a sensation .,A sensation of touch .
He worships the almighty dollar .,The dollar coin has never been popular in the United States .
They look the same in outward view .,The most desirable feature of the park are the beautiful views .
My neighbor was the lead role in last year 's village play .,Play its role .
You should have read the small print on your policy .,It was a policy of retribution .
The unhappy couple got into a terrible scrap .,That car is n't good for anything but scrap .
Territorial disputes were resolved in Guatemala 's recognition of Belize in 1991 .,The partners were delighted with the recognition of their work .
A valuable financial affiliation .,Welcomed the affiliation of the research center with the university .
"In the middle of the marathon , David collapsed from fatigue .",Rain during the middle of April .
The diet of the Giant Panda consists mainly of bamboo .,He 's been reading a steady diet of nonfiction for the last several years .
He was ordered to report for induction into the army .,The induction of an anesthetic state .
The impregnation of wood with preservative .,"The impregnation , whatever it was , had turned the rock blue ."
We did not understand his motivation .,His motivation was at a high level .
"A right identity , x * I = x for any x in the structure .",You can lose your identity when you join the army .
Clinton directed his fire at the Republican Party .,There was a fire at the school last night and the whole place burned down .
The addition of a leap day every four years .,The addition of a bathroom was a major improvement .
Probation is part of the sentencing process .,"You 'll be on probation for first six months . After that , if you work out , they 'll hire you permanently ."
His detention was politically motivated .,The detention of tardy pupils .
Accession to such demands would set a dangerous precedent .,The librarian shelved the new accessions .
You can not be convicted of criminal guilt by association .,He joined the Modern Language Association .
It was a miracle that he survived the drop from that height .,"That was a long drop , but fortunately I did n't break any bones ."
A surprising experience .,Experience is the best teacher .
He has been on relief for many years .,Was the relief supposed to be protection from future harm or compensation for past injury ?
An eyebrow pencil .,This artist 's favorite medium is pencil .
He was a bull of a man .,He made a bad bull of the assignment .
His treatment of the race question is badly biased .,His treatment of space borrows from Italian architecture .
She lost all her respect and authority after turning up drunk to the meeting .,This book is the final authority on the life of Milton .
We live an hour from the airport .,It was their finest hour .
They set up camp next to the dig .,She takes a dig at me every chance she gets .
They served me a dish of rice .,We gave them a set of dishes for a wedding present .
The animal died a painful death .,He seemed more content in death than he had ever been in life .
She has free agency .,Central Intelligence Agency .
A string of islands .,The strings played superlatively well .
The superintendence and agency of Providence in the natural world . --Woodward .,The Central Intelligence Agency .
"After so much stress , he suffered a breakdown and simply gave up .",His warning came after the breakdown of talks in London .
Writing was a form of therapy for him .,The idea occurs with increasing frequency in Hemingway 's writings .
Juvenile offenses often reflect an inadequacy in the parents .,The inadequacy of unemployment benefits .
The reappearance of Halley 's comet .,His reappearance as Hamlet has been long awaited .
The campaign put a favorable spin on the story .,The skaters demonstrated their spins .
The engineer marvelled at his construction .,Construction is underway on the new bridge .
He lacks the foundation necessary for advanced study .,"The Wikimedia Foundation , Inc. is the parent organization of the Wiktionary collaborative project ."
I could just make out her face in the twilight .,He loved the twilight .
The new car is a delight .,His delight to see her was obvious to all .
It 's a pity he could n't do it .,The blind are too often objects of pity .
The army retreated in confusion .,A confusion of impressions .
Some people put the stress on the first syllable of “ controversy ” ; others put it on the second .,The intensity of stress is expressed in units of force divided by units of area .
The senator received severe criticism from his opponent .,The politician received a lot of public criticism for his controversial stance on the issue .
A mule is a cross between a horse and a donkey .,That is his cross to bear .
The game was interrupted by a brief shower .,A little shower of rose petals .
The promulgation was written in English .,His promulgation of the policy proved to be premature .
He could not conceal his hostility .,He could no longer contain his hostility .
A deal of trouble .,He made a deal with the devil .
The party of the first part .,He planned a party to celebrate Bastille Day .
The history of this work is discussed in the next section .,A graduate student taught sections for the professor 's lecture course .
A joy to behold .,The joys and demands of parenthood .
It was not what it appeared to be on the surface .,The cloth had a pattern of red dots on a white surface .
A place setting of sterling flatware .,He changed the setting on the thermostat .
They were restrained by a prohibition in their charter .,In 1920 the 18th amendment to the Constitution established prohibition in the US .
I could see it in the distance .,The distance from New York to Chicago .
A strand of pearls .,He tried to pick up the strands of his former life .
The level of activity declines with age .,His sphere of activity .
Instant replay caused too long a delay .,The delay before the echo of a sound .
Each club played six home games with teams in its own division .,He played the drums at a jazz club .
Youth everywhere rises in revolt .,Her youth and beauty is what attracted him to her .
A force out was recorded on the scorecard .,A public force is necessary to give security to the rights of citizens .
The room was simply decorated with great restraint .,The car did not have proper restraints fitted .
He took a stab at forecasting .,She felt a stab of excitement .
His success in the marathon was unexpected .,The election was a remarkable success for the Whigs .
They went bankrupt during the economic crisis .,After the crisis the patient either dies or gets better .
The main body of the sound ran parallel to the coast .,He strained to hear the faint sounds .
The very easiness of the deed held her back .,There was an easiness between them .
The world 's heritage of knowledge .,A heritage of freedom .
He told the painter that he wanted a yellow base with just a hint of green .,Bases include oxides and hydroxides of metals and ammonia .
He needed a lot of power to hit the ball out of the stadium .,The mysterious presence of an evil power .
